,Name,Description
10,Gridspace expert needed for AI voice agent development,"We handle substantial number of bookings on a daily basis, and we are looking to enhance our operations by incorporating AI agents alongside our human agents. After researching various options, we discovered Gridspace, which appears to be the ideal solution for our needs. However, we require the assistance of an expert who can guide us in building our initial models and provide ongoing support. We are seeking a knowledgeable professional who possesses both the ability to construct agents and the expertise to educate us on the process. We prefer to work with someone experienced in this field, as we aim for a high-quality outcome. Our objective is to develop agents capable of handling extensive phone conversations. Gridspace's model, Grace, is particularly suited for various service-oriented tasks such as customer service, receptionist or switchboard operator duties, brand advocacy, appointment scheduling, and more. Our specific requirements for this project are as follows: Creation of a virtual agent (Grace) with the ability to perform the following functions: Greeting Call transfer confirmation to live agent Rescheduling using the FareHarbor API Call transfer for booking cancellations to live agent Cross-selling with transfer to live agent Ticket creation Creation and assignment of tasks in GHL via API (Google, Clickup, etc.) Ability to provide pickup times and locations based on hotel proximity (utilizing a provided spreadsheet) Explanation of all tour stops, including stop durations, attire recommendations, and items to bring Required access to FareHarbor data and ability to manipulate it Capability to capture credit card information Ability to send emails, SMS, and manipulate GHL (presumably a CRM system) We strongly desire a collaborative working relationship, allowing us to comprehend the model building process and its functioning. This knowledge will enable us to contribute to future iterations, explore different applications, and refine the system together. Our intention is not to completely eliminate the human element but rather to offload repetitive or non-revenue-generating tasks to the voice model. This will enable our human agents to focus on engaging with motivated buyers and generating sales. If you possess the required expertise and can fulfill our project requirements, we would appreciate the opportunity to work closely with you. Please note that we are specifically seeking a professional with a deep understanding of model development and deployment.
more
about ""Gridspace expert needed for <span class=""highlight"">AI</span> voice agent development"""
11,Conversational Chatbot Developer with Dialogflow experience,We are an AI company based in Ghana. We recently engaged 2 banks to build conversational chatbots for their customer engagement and other use cases. We'd like to engage you to be a lead on these projects. See attached JD.
12,"Crypto Expert Needed for Final Audit and Improvement Recommendations for our Crypto Project""","We are the team behind https://aimeme.ai/, a crypto project that's on the verge of launching. Before we go public, we're looking for an experienced and skilled professional to conduct a comprehensive final audit. What you'll do: Conduct a full-scale audit of our crypto project, including reviewing our website and all related materials. Provide recommendations on how to improve the project, focusing on potential enhancements to increase our success in fundraising. Create a detailed report, highlighting your findings and actionable insights. Who you are: You have a proven track record in the crypto industry, preferably having previously worked on crypto projects in similar capacities. You possess an in-depth understanding of the best practices, standards, and trends in the crypto space. You have a keen eye for detail, and can quickly spot areas of improvement. You have excellent communication skills, and can clearly present your findings and recommendations in a concise and effective manner. We're not just looking for someone who can simply identify potential problems. We need someone who can provide us with solutions and innovative strategies to ensure our project is as successful as it can be. If you're passionate about crypto, have relevant experience, and are ready to take on this challenge, we'd love to hear from you. PLEASE NOTE: The Smart contract is already audited by SECURI LAB. The website is build on React.JS
more
about ""Crypto Expert Needed for Final Audit and Improvement Recommendations for our Crypto Project&quot;"""
13,Machine Learning Engineer,"The application is an AI-driven product that helps users find the best matching music to video content. Leveraging resources in the media and music industry, you will have a unique opportunity and responsibility to collaborate closely with industry leaders to develop an intuitive product that best serves our target users. Responsibilities: - Support AI researchers in training models and conducting experiments on large amounts of data (millions of songs) and thousands of videos. - Support researchers in putting models in production with Vertex / Cloud Run / Kubernetes. - Maintain the BigQuery database. - Maintain the webapp cluster: Kubernetes cluster with a backend in python and frontend in React. Tech Stack: - Tensorflow, Pytorch - Terraform, Kubernetes - GCP services: Cloud Run functions, GCS, VM - CI-CD - IAM (auth) - SQL dbt - git Qualification: Degree in Computer Science Experience with models in production on a webapp Good understanding of software development process and related technologies (API, modeling, web development) Proactive, analytical and creative Preferred Experience: Experience in the music media industry Master degree in computer science Previous data architect / machine learning engineer role
more
about ""Machine Learning Engineer"""
14,AI/ML Researcher needed to research some tools for AI/ML models,"We are looking for someone to conduct a comparative analysis of AI/ML tools. Initially, you will be responsible for identifying and listing the tools. Once we have selected the most suitable ones, a comprehensive evaluation will be conducted. It is essential that you have experience in research, particularly in the field of AI, ML Data Science."
15,Graphic designer with a strong aesthetic and minimalistic appeal,"Hello I am currently seeking immediate assistance in building graphics for a website and other media. I am looking for someone who possesses the following qualities: - Understanding of building a strong brand identity for a coherent look and feel. - Ability to combine colors effectively in illustrations, logos, and website design. - Proficiency in creating minimalistic illustrations using Adobe Illustrator that convey feelings such as depression, anxiety, and stress. -Familiarity with ""text-to-image"" capabilities to generate photos, pictures, or illustrations that can be edited for the website. I already have a logo that requires some modifications. The website will offer a range of services, including therapy, courses, and lectures. Its target audience consists of individuals facing life challenges such as stress, anxiety, and depression, as well as businesses interested in booking mental health lectures and courses. It is crucial that the graphics are designed with the target audience in mind. Please note that this project will extend over several months, as I am working on it during my spare time. However, I would like to get a quick head start immediately. If you find this project interesting and believe you have the necessary skills, please let me know. Thank you. Warm regards, Thomas
more
about ""Graphic designer with a strong aesthetic and minimalistic appeal"""
16,Backend of a multi-service app.,"The app will consist of 3 services, starting from left to right: https://i.ibb.co/FYvChvM/Screenshot-2023-07-11-at-12-38-55-PM.png You will be building the User Service. You can use any framework/language to build it, but the database will be in Supabase. The communication will be as a REST API. Zephya is our internal name for the final service. I will be building Zephya alongside you. The frontend is built already, but we will make modifications to integrate it with the user service. ## This is what the entire app’s main flow looks like: Frontend: User attempts to login in using one of 3 options: * Google * Device (WebAuth) * Email Link. We can use any drop-in solution (like Firebase, Supabase, auth0 etc.) for any of these, provided the user doesn’t see the service being used when logging in. User Service: We store the user’s login information in our database. Frontend: After logging in, the user makes a call to the backend with a query. User Service: The user service will * Check if the query is authenticated * Compute some details related to the query * Store that query in the backend * Forward that query to Zephya. Zephya: Will stream events for that query until it’s completely answered. Events can be of two types: 1. Status events, which will tell the user what the status of the query is right now. 2. Clarify events, which will ask the user service for some information. User Service: When a status event is received, forward it to the frontend. When a clarify event is received, check if the information is available. If so, send it to Zephaya. If not, ask the user to enter this information through the frontend. This information will also be saved for later. This solution to this event system is open to ideas, some possible solutions I thought of were: 1. a. Zephya would stream SSE Server-side events back for status b. When it needs to make a clarify event, it will terminate the connection after sending the request for it c. Remember the query to continue by a unique ID. d. The unique ID will be used to continue the query with a new request once we have the information needed. 2. User service would open up a socket connection to Zephaya. All events would be transmitted over it, including request events. The socket connection would hold while the user service gets the required information. Other solutions are welcome. When the query is finally answered, we’ll format the result in the user service and send it to the frontend as well. Important point: The frontend may close the connection to the user service (for example, close the tab), and the query should still be answered in the background. If a clarify event is made, the user should provide that information when he reconnects (opens a new tab for the app). ## Other flows There are a couple other things a user can do on the app which aren’t as complicated, but will require using Open LLM APIs. Zephaya will not be used for them. They’ll be purely between the user service and the frontend. # How can you apply? - By telling me what solution for the events would be best (one of the above, or any other), and why. - What framework/language you would use to build the user service, and why. - What do you find interesting about this? You can answer these questions by applying on Replit or messaging me on Discord @ `zlenner`. I can share more details privately as well. # Deadline July 17th 2pm GMT+3 Cannot afford a delay, clear out your excuses beforehand.
more
about ""Backend of a multi-service app."""
17,"EXTRAORDINARY GPT4 AI Writer - Nature, Mental Health","Hello there, We're on the hunt for an exceptional AI Writer, one who's not just versed in crafting compelling narratives but has a knack for finding the sweet spot between nature, technology and mental health. You'll be stepping into a world that's one part wordsmith, one part tech whiz, and all parts explorer. We've got a planet to heal, and we're using the wisdom of bees, the resilience of trees, and the insights of to do it. Oh, and btw, we’re not a corporation. We’re people-focused and we develop long term relationships, and our reputation here on Upwork proves this. This job is for writers who also enjoy face to face video chats by Zoom. Happy prompting! Martin B.
more
about ""EXTRAORDINARY GPT4 <span class=""highlight"">AI</span> Writer - Nature, Mental Health"""
18,R to Python conversion,"Hi all I need help converting the algorithms in this R repository into Python: https://github.com/mattsams89/shiny-vertical-jump Specifically, the file App/global.R AI conversion tools can easily be used for the first parts, but verification needs to take place in the end, where we run our own datasets through both R and Python to test whether it works the same. I don't expect this project to take many hours. Great communication skills is a must (applicants who don't answer all questions will be discarded)
more
about ""R to Python conversion"""
19,Performance Marketing Consultant,"The Role As a Performance Marketing Consultant, you'll need to: Marketing strategy and execution: Execution, analysis and input into creative development of marketing campaigns for digital Working with creative and copy teams to propose and iterate on new ad/copy concepts Set Up a full funnel marketing campaign and be able to track/map consumer journey across the funnel down to conversion Manage the company website with our digital partner, ensuring it is user-friendly, up-to-date, and visually appealing. Manage relationships with third-party vendors, including graphic designers, and digital marketing agencies in order to drive business objectives Reporting and KPIs: Regular reporting to ensure alignment with Key Performance Indicators (KPIs) and leading efforts to improve conversion metrics Budgeting, forecasting, and setting targets for KPIs Using analytics and business intelligence tools to build performance dashboards Paid campaigns management: Managing paid campaigns across various channels (including Meta, Google and other channels such as Threads) and across international markets including UK, US, the Netherlands. Utilising different optimisation objectives and adapting to changes in attribution technologies Audience Insights and Innovation: Manage the testing roadmap across channels and form hypotheses for new initiatives deriving insights from audience insights and customer behaviour Sharing marketing campaign insights with the wider team to encourage continuous learning Requirements: Analytical and commercial mindset 4 - 7 years experience within both agency and industry* Exceptional experience with Google Ads and paid marketing “tools of the trade” Exceptional experience of managing SEM budgets Exceptional experience with analysing, reporting on and improving channel performance Strong knowledge of the “technical” side of digital marketing: server-side conversion APIs, attribution models, offline conversion tracking, etc. Experience with Looker, Tableau or another other BI tool Knowledge of other paid media channels, such as GDN, LinkedIn, or affiliates, is a nice bonus, not a requirement * We believe in the quality of skills rather than the quantity of years in a certain position. Therefore, we are open to candidates with limited experience, however – with excellent skills in marketing. Skills You'll need to have: Strong performance marketing experience with hands-on experience Good knowledge of SEO & PPC and keyword search Analytic and problem-solving skills Proven experience in digital marketing, with a focus on website design, content management, and social media. Strong knowledge of tools and experience using them to optimise digital marketing campaigns. Excellent project management and communication skills. Strong analytical and problem-solving skills, with the ability to use data to inform decision-making Experience of working with 3rd parties and developing successful working relationships
more
about ""Performance Marketing Consultant"""
